ID,Nombre,Estado,Creado,Actualizado,Estado de Compra,Factura,Fecha de factura,Fecha de pago,Moneda,Proveedor,Referencia,Tipo de cambio,Total del documento,Total indirectos,Total moneda ext
9477097780,488,active,2025-06-29T17:33:05Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256946048/DRI0209273M1FFA029729.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256946047/DRI0209273M1FFA029729.pdf",2025-06-16,,,DRILL COMPANY S.A. DE C.V.,FA29729,,,,
9477097842,489,active,2025-06-29T17:33:08Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256946121/DRI0209273M1FFA029725.pdf, https://drillcompany.monday.com/protected_static/2306999/resources/2256946125/DRI0209273M1FFA029725.xml",2025-06-16,,,DRILL COMPANY S.A. DE C.V.,FA29725,,,,
9477097883,490,active,2025-06-29T17:33:13Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256946198/DRI0209273M1FFA029721.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256946197/DRI0209273M1FFA029721.pdf",2025-06-16,,,DRILL COMPANY S.A. DE C.V.,FA29721,,,,
9477097922,487,active,2025-06-29T17:33:17Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256946272/DRI0209273M1FFA029730.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256946273/DRI0209273M1FFA029730.pdf",2025-06-16,,,DRILL COMPANY S.A. DE C.V.,FA29730,,,,
9477098020,491,active,2025-06-29T17:33:22Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256946368/DRI0209273M1FFA029719.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256946367/DRI0209273M1FFA029719.pdf",2025-06-16,,,DRILL COMPANY S.A. DE C.V.,FA29719,,,,
9477100805,485,active,2025-06-29T17:35:48Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256946709/DRI0209273M1FFA029738.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256946710/DRI0209273M1FFA029738.pdf",2025-06-17,,,DRILL COMPANY S.A. DE C.V.,FA29738,,,,
9477100861,484,active,2025-06-29T17:35:53Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256946841/DRI0209273M1FFA029737.pdf, https://drillcompany.monday.com/protected_static/2306999/resources/2256946842/DRI0209273M1FFA029737.xml",2025-06-17,,,DRILL COMPANY S.A. DE C.V.,FA29737,,,,
9477100911,486,active,2025-06-29T17:35:57Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256946938/DRI0209273M1FFA029739.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256946937/DRI0209273M1FFA029739.pdf",2025-06-17,,,DRILL COMPANY S.A. DE C.V.,FA29739,,,,
9477100956,481,active,2025-06-29T17:36:01Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256947107/DRI0209273M1FFA029749.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256947108/DRI0209273M1FFA029749.pdf",2025-06-17,,,DRILL COMPANY S.A. DE C.V.,FA29749,,,,
9477101030,483,active,2025-06-29T17:36:05Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256947470/DRI0209273M1FFA029736.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256947469/DRI0209273M1FFA029736.pdf",2025-06-17,,,DRILL COMPANY S.A. DE C.V.,FA29736,,,,
9477101109,482,active,2025-06-29T17:36:11Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256947565/DRI0209273M1FFA029748%20(1).xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256947564/DRI0209273M1FFA029748.pdf",2025-06-17,,,DRILL COMPANY S.A. DE C.V.,FA29748,,,,
9477105253,480,active,2025-06-29T17:40:00Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256948398/FA029752.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256948399/FA029752.pdf",2025-06-18,,,DRILL COMPANY S.A. DE C.V.,FA29752,,,,
9477105302,478,active,2025-06-29T17:40:03Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256948476/AGR160830TN7-invoice-N-4054Timbrado.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256948477/AGR160830TN7-invoice-N-4054.pdf",2025-06-18,,,AVIREX GROUP SA DE CV,N4054,,,,
9477105358,479,active,2025-06-29T17:40:07Z,2025-07-03T02:24:51Z,,https://drillcompany.monday.com/protected_static/2306999/resources/2256948560/FA029753.pdf,2025-06-18,,,DRILL COMPANY S.A. DE C.V.,FA29753,,,,
9477110046,476,active,2025-06-29T17:44:30Z,2025-07-03T02:24:52Z,,https://drillcompany.monday.com/protected_static/2306999/resources/2256948778/408.pdf,2025-06-24,,,SERVICIOS DE SEGUIMIENTO SATELITAL GEOMOV SPA,N°408,,,,
9477110977,501,active,2025-06-29T17:45:22Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256949631/864fb16c-56c5-4eb0-8ea4-a73c3bb934af.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256949627/864fb16c-56c5-4eb0-8ea4-a73c3bb934af.pdf",2025-06-25,,,GUADALUPE POMPOSO DE JESUS,A15034,,,,
9477111109,502,active,2025-06-29T17:45:26Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256950223/DRI0209273M1FFA029809.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256950225/DRI0209273M1FFA029809.pdf",2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29809,,,,
9477111342,499,active,2025-06-29T17:45:31Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256951104/DRI0209273M1FFA029819.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256951105/DRI0209273M1FFA029819.pdf",2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29819,,,,
